Molecule ChEMBL ID,SMILES,Active
CHEMBL426289,C=CCCCOC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,0
CHEMBL5987133,CS(=O)(=O)c1cc(F)cc(N2CCN(Cc3ccc(C(F)(F)F)nc3)C(c3ccccc3)C2)c1,0
CHEMBL5922516,CC(C)[C@@H]1CN(c2ccc(F)c(S(C)(=O)=O)c2)CCN1c1ccc(C(F)(F)F)cn1,1
CHEMBL5993866,CC(C)[C@@H]1CN(c2ccc(F)c(S(C)(=O)=O)c2)CCN1c1ncc(C(F)(F)F)c(Cl)n1,1
CHEMBL3673681,CCC(O)c1cnc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@@H]2C(C)C)nc1C(F)(F)F,0
CHEMBL517246,COC(=O)c1noc([C@](F)([C@H]2Cc3[nH]c4ccc(Cl)cc4c3C2)S(=O)(=O)c2ccccc2)n1,0
CHEMBL3360975,CC(C)(O)c1cn(-c2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2ccccc2Cl)n1,1
CHEMBL6029273,COC(=O)c1ccc(N2CCN(Cc3ccc(C(F)(F)F)nc3)C(c3ccccc3)C2)cc1S(C)(=O)=O,0
CHEMBL194353,C[C@]1(C(=O)NCC2(c3ccccc3)CCCCC2)CCC[C@]2(C)c3ccccc3CC[C@@H]12,1
CHEMBL3673683,CCCC(O)c1cnc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@H]2C(C)C)nc1C(F)(F)F,1
CHEMBL454408,COC(=O)[C@](C)([C@@H]1CCc2c([nH]c3ccc(Cl)cc23)C1)S(=O)(=O)c1ccc(Cl)c(Cl)c1,0
CHEMBL5775096,CC(CCOc1cccc(CC(=O)O)c1)N(Cc1cccc(C(F)(F)F)c1Cl)CC(c1ccccc1)c1ccccc1,1
CHEMBL5913139,Cc1nc(C(F)(F)F)ccc1CN1CCN(c2cccc(S(C)(=O)=O)c2)CC1c1ccccc1,0
CHEMBL5970764,CC(O)(c1ccc(CN2CCN(c3cccc(S(C)(=O)=O)c3)C[C@@H]2c2ccccc2)cc1)C(F)(F)F,0
CHEMBL59359,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)cc1F,1
CHEMBL3673699,Cc1cnc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@H]2C(C)C)nc1C(F)(F)F,1
CHEMBL372612,C[C@]1(C(=O)NCC2(c3ccccc3)CCCCC2)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,1
CHEMBL5909340,CC(C)[C@H]1CN(c2ccc(C#N)c(S(C)(=O)=O)c2)CCN1C[C@H]1CC[C@@H](C(F)(F)F)CC1,1
CHEMBL3673690,CC(C)[C@H]1c2nc3cc(CO)c(S(C)(=O)=O)cc3n2CCN1c1ncc(C(N)=O)c(C(F)(F)F)n1,0
CHEMBL197522,CC1(C)C2CCC(NC(=O)[C@@]3(C)CCC[C@]4(C)c5cc(O)ccc5CC[C@@H]34)C1C2,1
CHEMBL61124,COc1ccc(CN(CCCOc2cccc(CC(N)=O)c2)CC(c2ccccc2)c2ccccc2)c(F)c1,1
CHEMBL5905710,CS(=O)(=O)c1cccc(N2CCN(C[C@H]3CCN(CC(F)(F)F)C3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL507805,CNC(=O)[C@](F)([C@H]1Cc2[nH]c3ccc(Cl)cc3c2C1)S(=O)(=O)c1ccccc1,0
CHEMBL3815014,CC(C)[C@@H]1CN(c2cccc(S(C)(=O)=O)c2)CCN1c1nccc(C(F)(F)F)n1,1
CHEMBL5885460,CS(=O)(=O)c1cccc(N2CCN(CC3CCOCC3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL3814372,CS(=O)(=O)c1cccc(N2CCN(Cc3ccc(C(F)(F)F)nc3)C(c3ccccc3)C2)c1,0
CHEMBL5937591,CS(=O)(=O)c1cc(N2CCN(C[C@H]3CC[C@@H](C(F)(F)F)CC3)[C@H](c3ccccc3)C2)ccc1C#N,0
CHEMBL427183,C[C@]1(C(=O)OCc2ccccc2)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,0
CHEMBL4463581,O=C(N1CC[C@@]2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12)C1(O)CCS(=O)(=O)CC1,0
CHEMBL516657,COC(=O)[C@](F)([C@H]1Cc2[nH]c3ccc(Cl)cc3c2C1)S(=O)(=O)c1ccccn1,0
CHEMBL60393,NC(=O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,1
CHEMBL3673696,Cc1nc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@H]2C(C)C)ncc1CO,0
CHEMBL402063,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0
CHEMBL194642,C[C@]1(C(=O)NCC23CC4CC(CC(C4)C2)C3)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,1
CHEMBL5820777,CS(=O)(=O)c1cccc(N2CCN(Cc3ccc(C(F)(F)F)nc3)[C@H](c3ccccc3)C2)c1,0
CHEMBL456237,Fc1ccc(-c2c3cccc(C(F)(F)F)c3nn2Cc2ccc(F)cc2Cl)cc1,1
CHEMBL5808003,CS(=O)(=O)c1ccc(F)c(N2CCN(Cc3ccc(C(F)(F)F)nc3)C(c3ccccc3)C2)c1,0
CHEMBL462446,CN(C)c1nnc([C@](F)([C@H]2Cc3[nH]c4ccc(Cl)cc4c3C2)S(=O)(=O)c2ccccc2)o1,1
CHEMBL216645,O=C(O)Cc1ccc(NCc2cccc(-c3c(Cc4ccccc4)cnc4c(C(F)(F)F)cccc34)c2)cc1,1
CHEMBL3672848,CC(C)[C@@H]1c2cc3cc(CO)c(S(C)(=O)=O)cc3n2CCN1c1nccc(C(F)(F)F)n1,1
CHEMBL6012432,CC(C)(C)OC(=O)N1CCN(c2cccc(S(C)(=O)=O)c2)CC1c1ccccc1,0
CHEMBL6023209,CC(C)[C@H]1CN(c2ccc(CO)c(S(C)(=O)=O)c2)CCN1C[C@@H]1CC[C@H](C(F)(F)F)OC1,1
CHEMBL3673672,CC(C)C1c2nc3ccc(S(C)(=O)=O)cc3n2CCN1c1ncc(C(N)=O)c(C(F)(F)F)n1,0
CHEMBL194192,C=CCCOC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,0
CHEMBL196340,C[C@]1(C(=O)N2CCCC(c3ccccc3)C2)CCC[C@]2(C)c3ccccc3CC[C@@H]12,1
CHEMBL5825016,CS(=O)(=O)c1cccc(N2CCN(Cc3ccc(C(F)(F)F)nc3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL3672845,CC(C)[C@H]1c2nc3cc(CO)c(S(C)(=O)=O)cc3n2CCN1c1nccc(C(F)(F)F)n1,0
CHEMBL5932799,CS(=O)(=O)c1cccc(N2CCN(c3nccc(C(F)(F)F)n3)[C@H](c3ccc(F)cc3)C2)c1,1
CHEMBL3813875,CS(=O)(=O)c1cccc(N2CCN(c3nccc(C(F)(F)F)n3)C(c3ccccc3)C2)c1,0
CHEMBL3673701,CC(=O)c1cnc(N2CCn3c(nc4ccc(S(C)(=O)=O)cc43)[C@@H]2C(C)C)nc1C(F)(F)F,0
CHEMBL5982583,CC(C)[C@@H]1CN(c2cccc(S(C)(=O)=O)c2)CCN1c1ncc(C2CC2)cn1,1
CHEMBL5804175,CS(=O)(=O)c1cccc(N2CCN(c3nccc(C(F)(F)F)n3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL5866992,CS(=O)(=O)c1cccc(N2CCN(C(=O)C3CCC(F)(F)CC3)[C@@H](c3ccccc3)C2)c1,1
CHEMBL6046038,CS(=O)(=O)c1cccc(N2CCN(Cc3ccc(C(F)(F)F)nc3)C(c3cccc(Cl)c3)C2)c1,0
CHEMBL595689,Cc1cnc2c(C(F)(F)F)cccc2c1-c1cccc(Oc2cccc(S(C)(=O)=O)c2)c1,1
CHEMBL4174856,CN1CC[C@@H](N2C(=O)S/C(=C\c3ccc4c(cnn4Cc4ccc(Cl)cc4C(F)(F)F)c3)C2=O)[C@H](F)C1,0
CHEMBL199255,C[C@]1(C(=O)NC23CC4CC(CC(C4)C2)C3)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,1
CHEMBL194866,C[C@]1(C(=O)CC(=O)C23CC4CC(CC(C4)C2)C3)CCC[C@]2(C)c3ccccc3CC[C@@H]12,0
CHEMBL5808374,Cc1cccc(C2CN(c3cccc(S(C)(=O)=O)c3)CCN2Cc2ccc(C(F)(F)F)nc2)c1,0
CHEMBL3673695,COc1nc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@H]2C(C)C)ncc1C(F)(F)F,1
CHEMBL3814478,CC(C)[C@@H]1CN(c2ccc(F)c(S(C)(=O)=O)c2)CCN1c1ncc(C(C)(C)O)c(C(F)(F)F)n1,1
CHEMBL3672849,CC(C)[C@H]1c2cc3cc(CO)c(S(C)(=O)=O)cc3n2CCN1c1nccc(C(F)(F)F)n1,0
CHEMBL518171,O=S(=O)(c1ccccc1)[C@](F)(c1nnc(C2CC2)o1)[C@H]1Cc2[nH]c3ccc(Cl)cc3c2C1,1
CHEMBL5979477,Cc1cc(CN2CCN(c3cccc(S(C)(=O)=O)c3)CC2c2ccccc2)cnc1C(F)(F)F,0
CHEMBL3672844,CC(C)[C@@H]1c2nc3cc(CO)c(S(C)(=O)=O)cc3n2CCN1c1nccc(C(F)(F)F)n1,1
CHEMBL194409,C[C@]1(C(=O)NC2C3CC4CC(C3)CC2C4)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,1
CHEMBL5803651,CS(=O)(=O)c1cccc(N2CCN(CC3CCCOC3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL5927361,CS(=O)(=O)c1cc(N2CCN(Cc3ccc(C(F)(F)F)nc3)C(c3ccccc3)C2)ccc1CO,0
CHEMBL61766,NC(=O)Cc1cccc(OCCCN(Cc2ccc(F)c(C(F)(F)F)c2)CC(c2ccccc2)c2ccccc2)c1,1
CHEMBL5950252,CS(=O)(=O)c1cccc(N2CCN(Cc3ccc(C(F)(F)F)o3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL3673702,CC(C)[C@@H]1c2nc3ccc(S(C)(=O)=O)cc3n2CCN1c1ncc(C(C)(C)O)c(C(F)(F)F)n1,1
CHEMBL5793135,CS(=O)(=O)c1cc(N2CCN(C[C@H]3CC[C@@H](C(F)(F)F)CC3)[C@H](c3ccccc3)C2)ccc1C(N)=O,0
CHEMBL5994972,CC(C)[C@@H]1CN(c2ccc(F)c(S(C)(=O)=O)c2)CCN1c1nccc(C2CC2)n1,1
CHEMBL3673682,CCC(O)c1cnc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@H]2C(C)C)nc1C(F)(F)F,1
CHEMBL595118,Cc1cnc2c(C(F)(F)F)cccc2c1-c1cccc(Oc2cccc(CO)c2)c1,1
CHEMBL5769761,CS(=O)(=O)c1cccc(N2CCN(Cc3ccc(C(F)(F)F)cn3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL3673671,CC(C)C1c2nc3ccc(S(C)(=O)=O)cc3n2CCN1c1ncc(CO)c(C(F)(F)F)n1,0
CHEMBL5912783,CS(=O)(=O)c1cccc(N2CCN(C(=O)C3CCC(O)(C(F)(F)F)CC3)[C@H](c3ccccc3)C2)c1,0
CHEMBL3673673,CC(=O)c1cnc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@H]2C(C)C)nc1C(F)(F)F,1
CHEMBL3814153,CC(C)[C@@H]1CN(c2ccc(F)c(S(C)(=O)=O)c2)CCN1c1nccc(C(F)(F)F)n1,1
CHEMBL5988434,CC(C)(C)OC(=O)N1CCN(c2cccc(S(C)(=O)=O)c2)C[C@@H]1Cc1ccccc1,0
CHEMBL365544,CC1(C(=O)NC(=O)[C@@]2(C)CCC[C@]3(C)c4cc(O)ccc4CC[C@@H]23)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,1
CHEMBL3672843,CC(C)C1c2nc3ccc(S(C)(=O)=O)cc3n2CCN1c1nccc(C(F)(F)F)n1,0
CHEMBL196145,C[C@]1(C(=O)NCCc2ccccc2)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,0
CHEMBL5867896,NS(=O)(=O)c1cccc(N2CCN(C(=O)C3CCC(C(F)(F)F)CC3)[C@H](c3ccccc3)C2)c1,0
CHEMBL365750,CC(CNC(=O)[C@@]1(C)CCC[C@]2(C)c3ccccc3CC[C@@H]12)(c1ccccc1)c1ccccc1,1
CHEMBL5887887,NS(=O)(=O)c1cccc(N2CCN(C(=O)C3CCC(C(F)F)CC3)[C@@H](c3ccccc3)C2)c1,1
CHEMBL5917137,Cc1csc(-c2ccc(N3CCN(c4ncc(CO)c(C(F)(F)F)n4)[C@H](C(C)C)C3)cc2S(C)(=O)=O)n1,1
CHEMBL3673674,CC(=O)c1cnc(N2CCn3c(nc4cc(CO)c(S(C)(=O)=O)cc43)[C@@H]2C(C)C)nc1C(F)(F)F,0
CHEMBL5770941,CS(=O)(=O)c1cccc(N2CCN(Cc3ccc(OC(F)F)cc3)[C@@H](c3ccccc3)C2)c1,0
CHEMBL5741134,NS(=O)(=O)c1cccc(N2CCN(C(=O)C3CCC(C(F)F)CC3)[C@H](c3ccccc3)C2)c1,0
CHEMBL5426305,C[C@H]1CCCCN1c1cc(-c2ccco2)nnc1N,0
CHEMBL454622,COC(=O)[C@](F)([C@H]1Cc2[nH]c3ccc(Cl)nc3c2C1)S(=O)(=O)c1ccccc1,0
